Designator,Mid X,Mid Y,Rotation,Layer
C1,120.885708,-63.976727,180,top
C10,121.012186,-117.926861,180,top
C11,121.012186,-128.96079,180,top
C12,121.012186,-131.056588,180,top
C13,121.012186,-141.752048,180,top
C14,121.012186,-143.780959,180,top
C15,151.289438,-142.825064,180,top
C16,150.150086,-128.912701,180,top
C2,120.885708,-65.881727,180,top
C3,121.393708,-78.835727,180,top
C4,121.393708,-80.693704,180,top
C5,120.855708,-91.108373,180,top
C6,120.855708,-92.892031,180,top
C7,121.393708,-104.489727,180,top
C8,121.393708,-106.429455,180,top
C9,121.012186,-116.05402,180,top
D1,109.455708,-69.691727,0,top
D10,109.455708,-92.551727,0,top
D11,109.455708,-95.091727,0,top
D12,109.455708,-97.659742,0,top
D13,109.455708,-100.171727,0,top
D14,109.455708,-102.711727,0,top
D15,109.455708,-105.251727,0,top
D16,109.455708,-107.791727,0,top
D17,109.455708,-110.331727,0,top
D18,109.455708,-112.871727,0,top
D19,109.455708,-115.411727,0,top
D2,109.455708,-72.231727,0,top
D20,109.455708,-117.951727,0,top
D21,109.455708,-120.491727,0,top
D22,109.455708,-123.031727,0,top
D23,109.455708,-125.571727,0,top
D24,109.455708,-128.111727,0,top
D25,109.455708,-130.651727,0,top
D26,109.455708,-133.191727,0,top
D27,109.455708,-135.731727,0,top
D28,109.455708,-138.271727,0,top
D29,104.375708,-70.961727,0,top
D3,109.455708,-74.771727,0,top
D30,104.375708,-73.501727,0,top
D31,104.375708,-76.041727,0,top
D32,104.375708,-78.581727,0,top
D33,104.375708,-81.121727,0,top
D34,104.375708,-83.661727,0,top
D35,104.375708,-86.201727,0,top
D36,104.375708,-88.741727,0,top
D37,104.375708,-91.281727,0,top
D38,104.375708,-93.821727,0,top
D39,104.375708,-96.361727,0,top
D4,109.455708,-77.311727,0,top
D40,104.375708,-98.901727,0,top
D41,104.375708,-101.441727,0,top
D42,104.375708,-103.981727,0,top
D43,104.375708,-106.521727,0,top
D44,104.375708,-109.061727,0,top
D45,104.375708,-111.601727,0,top
D46,104.375708,-114.141727,0,top
D47,104.375708,-116.681727,0,top
D48,104.375708,-119.221727,0,top
D49,104.375708,-121.761727,0,top
D5,109.455708,-79.851727,0,top
D50,104.375708,-124.301727,0,top
D51,104.375708,-126.841727,0,top
D52,104.375708,-129.381727,0,top
D53,104.375708,-131.921727,0,top
D54,104.375708,-134.461727,0,top
D55,104.375708,-137.001727,0,top
D56,104.375708,-139.541727,0,top
D6,109.455708,-82.391727,0,top
D7,109.455708,-84.931727,0,top
D8,109.455708,-87.471727,0,top
D9,109.455708,-90.011727,0,top
R1,176.731052,-152.378031,0,top
R10,180.051682,-140.991965,0,top
R11,176.753328,-139.637397,0,top
R12,180.051682,-138.451965,0,top
R13,176.753328,-137.097397,0,top
R14,180.051682,-135.911965,0,top
R15,176.753328,-134.557397,0,top
R16,180.051682,-133.371965,0,top
R17,176.753328,-132.017397,0,top
R18,180.051682,-130.831965,0,top
R19,176.753328,-129.477397,0,top
R2,180.051682,-151.151965,0,top
R20,180.051682,-128.291965,0,top
R21,176.753328,-126.937397,0,top
R22,180.051682,-125.751965,0,top
R23,176.753328,-124.397397,0,top
R24,180.051682,-123.211965,0,top
R25,176.753328,-121.857397,0,top
R26,180.051682,-120.671965,0,top
R27,176.753328,-119.317397,0,top
R28,180.051682,-118.131965,0,top
R3,176.753328,-149.797397,0,top
R4,180.051682,-148.611965,0,top
R5,176.753328,-147.257397,0,top
R6,180.051682,-146.071965,0,top
R7,176.753328,-144.717397,0,top
R8,180.051682,-143.531965,0,top
R9,176.753328,-142.177397,0,top
